OML1
thisone12NP-T2-VLM2-3.9kg-x0.2m-z-0.0m+Drag


 Ctrl      , α (°)      , β (°)      , φ (°)      , CL         , CD         , CD_viscous , CD_induced , CY         , Cm         , Cm_viscous , Cm_pressure, Cl         , Cn         , Cn_viscous , Cn_pressure, CL/CD      , CL^(3/2)/CD, 1/sqrt(CL) , Lift (N)   , Drag (N)   , Fx_FF (N)  , Fy_FF (N)  , Fz_FF (N)  , Fx_sum (N) , Fy_sum (N) , Fz_sum (N) , Extra drag (N), Fuse drag (N), Cf_Fuse    , Vx (m/s)   , Vz (m/s)   , V (m/s)    , Gamma      , L (N.m)    , M (N.m)    , N (N.m)    , CPx (m)    , CPy (m)    , CPz (m)    , BM (N.m)   , m.g.Vz (W) , Drag x V (W), Efficiency , XCp.Cl     , XNP (m)    , Phugoid Freq. (Hz), Phugoid Damping, Short Period Freq. (Hz), Short Period Damping Ratio, Dutch Roll Freq. (Hz), Dutch Roll Damping, Roll Damping, Spiral Damping, Mass (kg)  , CoG_x (m)  , CoG_z (m)  , 
          0,         3.5,           0,           0,     0.55215,    0.037964,    0.013878,    0.024085, -3.2503e-07,   -0.043839,  0.00096401,   -0.044803,  4.8951e-07,  -2.995e-07, -1.0309e-08, -2.8919e-07,      14.544,      10.807,      1.3458,      38.673,       2.659,    -0.67713, -2.2765e-05,      38.704,   -0.026678,  -4.605e-05,      36.741,     0.11138,           0,           0,      14.227,      0.9805,      14.261,      3.9332,  5.3169e-05,     -1.1761, -2.8258e-05,     0.15499, -3.4827e-08,     0.02715,      6.1611,      37.919,      37.919,      1.0076,     0.08558,     0.16897,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,           4,           0,           0,     0.58841,    0.041596,    0.014316,     0.02728, -3.2476e-07,   -0.048232,  0.00093641,   -0.049168,  5.1162e-07, -3.0429e-07, -1.0669e-08, -2.9362e-07,      14.146,      10.851,      1.3036,      38.673,      2.7339,    -0.90909, -2.1345e-05,      38.704,    -0.11284, -4.3144e-05,      36.406,     0.10452,           0,           0,       13.78,     0.97655,      13.814,      4.0436,  5.2318e-05,     -1.2142, -2.6398e-05,     0.15611,  -3.297e-08,    0.026988,      6.1121,      37.766,      37.766,      1.0103,    0.091859,     0.16876,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,         4.5,           0,           0,     0.62455,    0.045515,    0.014841,    0.030674, -3.2444e-07,   -0.052597,  0.00091287,    -0.05351,   5.336e-07, -3.0951e-07, -1.1106e-08,  -2.984e-07,      13.722,      10.844,      1.2654,      38.673,      2.8183,     -1.1408,  -2.009e-05,      38.703,     -0.1893, -4.0577e-05,      36.111,    0.098469,           0,           0,      13.373,     0.97715,      13.408,      4.1681,  5.1566e-05,     -1.2475, -2.4762e-05,      0.1571,   -3.13e-08,    0.026842,      6.0687,      37.789,      37.789,      1.0123,    0.098118,     0.16855,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,           5,           0,           0,     0.66056,    0.049653,    0.015389,    0.034264, -3.2407e-07,   -0.056938,  0.00088891,   -0.057827,  5.5544e-07, -3.1511e-07, -1.1575e-08, -3.0354e-07,      13.304,      10.813,      1.2304,      38.673,       2.907,     -1.3722, -1.8973e-05,      38.701,    -0.25767, -3.8292e-05,      35.849,    0.093101,           0,           0,      13.001,     0.98003,      13.038,      4.2987,  5.0898e-05,     -1.2768, -2.3308e-05,     0.15798, -2.9789e-08,     0.02671,      6.0299,      37.901,      37.901,      1.0138,     0.10435,     0.16833,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,         5.5,           0,           0,     0.69644,    0.053966,    0.015918,    0.038048, -3.2365e-07,   -0.061255,  0.00086213,   -0.062117,  5.7712e-07, -3.2105e-07, -1.2028e-08, -3.0902e-07,      12.905,       10.77,      1.1983,      38.673,      2.9967,     -1.6036, -1.7972e-05,      38.697,    -0.31922, -3.6244e-05,      35.615,    0.088305,           0,           0,       12.66,     0.98392,      12.698,      4.4309,  5.0299e-05,     -1.3028, -2.2004e-05,     0.15876, -2.8417e-08,    0.026591,      5.9951,      38.051,      38.051,      1.0148,     0.11056,      0.1681,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,           6,           0,           0,     0.73217,    0.058444,    0.016421,    0.042024, -3.2318e-07,   -0.065548,  0.00083194,    -0.06638,  5.9863e-07, -3.2732e-07, -1.2462e-08, -3.1486e-07,      12.528,      10.719,      1.1687,      38.673,       3.087,     -1.8349,  -1.707e-05,      38.693,    -0.37497, -3.4399e-05,      35.404,    0.083996,           0,           0,      12.345,     0.98853,      12.384,      4.5639,   4.976e-05,     -1.3261, -2.0827e-05,     0.15945, -2.7163e-08,    0.026482,      5.9636,      38.229,      38.229,      1.0155,     0.11675,     0.16786,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,         6.5,           0,           0,     0.76774,    0.063078,     0.01689,    0.046188, -3.2266e-07,   -0.069816,   0.0007979,   -0.070614,  6.1997e-07, -3.3389e-07, -1.2857e-08, -3.2104e-07,      12.171,      10.665,      1.1413,      38.673,      3.1774,     -2.0663, -1.6253e-05,      38.688,    -0.42574, -3.2727e-05,      35.213,    0.080104,           0,           0,      12.053,     0.99361,      12.094,      4.6969,  4.9272e-05,      -1.347, -1.9757e-05,     0.16008, -2.6015e-08,    0.026382,      5.9348,      38.426,      38.426,      1.0159,      0.1229,     0.16762,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,           7,           0,           0,     0.80316,    0.067881,    0.017343,    0.050538, -3.2209e-07,   -0.074057,  0.00076119,   -0.074818,  6.4111e-07, -3.4079e-07,  -1.324e-08, -3.2755e-07,      11.832,      10.604,      1.1158,      38.673,      3.2685,     -2.2977, -1.5509e-05,      38.681,    -0.47222, -3.1205e-05,      35.038,    0.076572,           0,           0,      11.782,     0.99933,      11.824,       4.831,  4.8827e-05,     -1.3658, -1.8781e-05,     0.16063, -2.4957e-08,     0.02629,      5.9085,      38.647,      38.647,      1.0161,     0.12901,     0.16738,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,         7.5,           0,           0,      0.8384,    0.072875,    0.017804,     0.05507, -3.2147e-07,   -0.078267,  0.00072399,   -0.078991,  6.6206e-07, -3.4803e-07,  -1.363e-08,  -3.344e-07,      11.505,      10.534,      1.0921,      38.673,      3.3615,     -2.5293, -1.4829e-05,      38.674,    -0.51496, -2.9812e-05,      34.879,    0.073353,           0,           0,      11.529,      1.0059,      11.573,      4.9677,  4.8419e-05,     -1.3828, -1.7889e-05,     0.16113, -2.3981e-08,    0.026205,      5.8842,      38.902,      38.902,      1.0161,     0.13509,     0.16712,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,           8,           0,           0,     0.87347,    0.078078,    0.018296,    0.059782, -3.2081e-07,   -0.082442,  0.00068826,   -0.083131,  6.8279e-07, -3.5563e-07,  -1.405e-08, -3.4159e-07,      11.187,      10.456,        1.07,      38.673,      3.4569,     -2.7612, -1.4204e-05,      38.665,    -0.55441, -2.8533e-05,      34.732,    0.070408,           0,           0,      11.293,      1.0135,      11.338,       5.108,  4.8045e-05,     -1.3981, -1.7072e-05,     0.16158, -2.3077e-08,    0.026127,      5.8617,      39.194,      39.194,      1.0159,     0.14114,     0.16686,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,         8.5,           0,           0,     0.90836,    0.083412,    0.018743,     0.06467, -3.2009e-07,   -0.086588,   0.0006483,   -0.087236,   7.033e-07, -3.6353e-07, -1.4435e-08, -3.4909e-07,       10.89,      10.379,      1.0492,      38.673,      3.5512,     -2.9932, -1.3628e-05,      38.655,    -0.59098, -2.7354e-05,      34.596,    0.067703,           0,           0,      11.072,       1.021,      11.118,      5.2466,  4.7699e-05,      -1.412, -1.6316e-05,     0.16199, -2.2237e-08,    0.026054,      5.8408,      39.483,      39.483,      1.0157,     0.14714,     0.16659,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,           9,           0,           0,     0.94306,    0.088909,    0.019179,     0.06973, -3.1933e-07,   -0.090701,  0.00060644,   -0.091307,  7.2357e-07, -3.7171e-07, -1.4792e-08, -3.5692e-07,      10.607,      10.301,      1.0297,      38.673,       3.646,     -3.2255, -1.3095e-05,      38.644,    -0.62499, -2.6264e-05,       34.47,    0.065213,           0,           0,      10.864,      1.0287,      10.912,      5.3858,  4.7379e-05,     -1.4246, -1.5615e-05,     0.16235, -2.1454e-08,    0.025986,      5.8212,      39.784,      39.784,      1.0153,     0.15311,     0.16632,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,         9.5,           0,           0,     0.97755,    0.094599,    0.019639,    0.074959, -3.1852e-07,   -0.094776,  0.00056578,   -0.095341,  7.4361e-07, -3.8024e-07,  -1.518e-08, -3.6506e-07,      10.334,      10.217,      1.0114,      38.673,      3.7424,     -3.4581, -1.2601e-05,      38.632,    -0.65673, -2.5252e-05,      34.352,    0.062911,           0,           0,      10.668,      1.0371,      10.718,      5.5273,  4.7081e-05,     -1.4361, -1.4966e-05,     0.16268, -2.0723e-08,    0.025923,      5.8028,      40.109,      40.109,      1.0148,     0.15903,     0.16604,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,          10,           0,           0,      1.0118,     0.10046,    0.020104,    0.080354, -3.1766e-07,   -0.098814,  0.00052401,   -0.099338,  7.6339e-07, -3.8908e-07, -1.5566e-08, -3.7351e-07,      10.072,      10.132,     0.99413,      38.673,      3.8395,      -3.691, -1.2141e-05,      38.619,    -0.68642,  -2.431e-05,      34.242,    0.060779,           0,           0,      10.483,      1.0459,      10.534,      5.6698,  4.6803e-05,     -1.4466, -1.4362e-05,     0.16297, -2.0038e-08,    0.025864,      5.7854,      40.447,      40.447,      1.0143,      0.1649,     0.16575,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,        10.5,           0,           0,      1.0459,     0.10647,    0.020565,    0.085909, -3.1676e-07,    -0.10281,  0.00048122,     -0.1033,   7.829e-07, -3.9823e-07, -1.5967e-08, -3.8226e-07,      9.8232,      10.046,      0.9778,      38.673,      3.9369,     -3.9243, -1.1712e-05,      38.604,    -0.71429, -2.3432e-05,      34.138,    0.058799,           0,           0,      10.308,      1.0548,      10.361,      5.8127,  4.6542e-05,     -1.4561, -1.3799e-05,     0.16324, -1.9395e-08,    0.025808,       5.769,      40.791,      40.791,      1.0137,     0.17073,     0.16545,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,          11,           0,           0,      1.0798,     0.11265,    0.021024,    0.091622, -3.1581e-07,    -0.10677,  0.00043863,    -0.10721,  8.0214e-07, -4.0769e-07, -1.6376e-08, -3.9131e-07,      9.5857,      9.9607,     0.96235,      38.673,      4.0345,      -4.158, -1.1311e-05,      38.589,    -0.74051,  -2.261e-05,      34.041,    0.056955,           0,           0,      10.142,      1.0638,      10.198,      5.9557,  4.6297e-05,     -1.4647, -1.3273e-05,     0.16347, -1.8791e-08,    0.025756,      5.7533,      41.141,      41.141,       1.013,     0.17652,     0.16514,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,        11.5,           0,           0,      1.1134,     0.11897,    0.021479,    0.097488, -3.1481e-07,    -0.11069,  0.00039602,    -0.11109,   8.211e-07, -4.1742e-07, -1.6767e-08, -4.0065e-07,      9.3591,      9.8756,      0.9477,      38.673,      4.1321,      -4.392, -1.0934e-05,      38.572,    -0.76523, -2.1839e-05,      33.948,    0.055234,           0,           0,      9.9855,       1.073,      10.042,      6.0988,  4.6066e-05,     -1.4726, -1.2778e-05,     0.16369, -1.8222e-08,    0.025707,      5.7384,      41.496,      41.496,      1.0123,     0.18225,     0.16483,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,          12,           0,           0,      1.1468,     0.12544,    0.021941,      0.1035, -3.1376e-07,    -0.11457,  0.00035346,    -0.11492,  8.3976e-07, -4.2743e-07, -1.7154e-08, -4.1028e-07,      9.1421,      9.7903,     0.93379,      38.673,      4.2302,     -4.6265, -1.0581e-05,      38.554,     -0.7886, -2.1114e-05,       33.86,    0.053625,           0,           0,      9.8363,      1.0823,       9.895,      6.2424,  4.5848e-05,     -1.4798, -1.2312e-05,     0.16387, -1.7684e-08,    0.025661,       5.724,      41.858,      41.858,      1.0115,     0.18794,     0.16451,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,        12.5,           0,           0,        1.18,     0.13211,    0.022449,     0.10966, -3.1267e-07,     -0.1184,  0.00031341,    -0.11871,  8.5812e-07, -4.3775e-07, -1.7567e-08, -4.2018e-07,      8.9318,      9.7024,     0.92058,      38.673,      4.3298,     -4.8615, -1.0247e-05,      38.534,    -0.81073, -2.0432e-05,      33.776,    0.052118,           0,           0,      9.6944,      1.0922,      9.7549,      6.3882,  4.5641e-05,     -1.4863, -1.1875e-05,     0.16404, -1.7176e-08,    0.025617,      5.7102,      42.237,      42.237,      1.0107,     0.19357,     0.16418,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,          13,           0,           0,      1.2129,      0.1391,    0.023134,     0.11596, -3.1153e-07,    -0.12217,  0.00028555,    -0.12246,  8.7616e-07, -4.4847e-07, -1.8121e-08, -4.3035e-07,        8.72,      9.6035,       0.908,      38.673,       4.435,     -5.0969, -9.9331e-06,      38.514,    -0.83172, -1.9788e-05,      33.695,    0.050704,           0,           0,       9.559,      1.1034,      9.6217,      6.5421,  4.5444e-05,     -1.4921, -1.1469e-05,     0.16419, -1.6694e-08,    0.025576,      5.6969,      42.672,      42.672,      1.0099,     0.19915,     0.16385,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,        13.5,           0,           0,      1.2456,     0.14652,     0.02412,      0.1224, -3.1035e-07,    -0.12588,  0.00027888,    -0.12616,  8.9388e-07,  -4.597e-07, -1.8915e-08, -4.4078e-07,      8.5013,      9.4879,     0.89602,      38.673,      4.5491,     -5.3328, -9.6358e-06,      38.492,    -0.85169, -1.9178e-05,      33.618,    0.049374,           0,           0,      9.4296,      1.1168,      9.4947,      6.7088,  4.5257e-05,      -1.497, -1.1096e-05,     0.16432, -1.6237e-08,    0.025537,       5.684,      43.192,      43.192,       1.009,     0.20467,      0.1635,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,          14,           0,           0,       1.278,     0.15442,    0.025462,     0.12896, -3.0912e-07,    -0.12951,  0.00029771,    -0.12981,  9.1127e-07, -4.7149e-07, -2.0022e-08, -4.5147e-07,      8.2759,      9.3557,     0.88458,      38.673,       4.673,     -5.5693, -9.3543e-06,      38.468,    -0.87069, -1.8601e-05,      33.544,    0.048122,           0,           0,      9.3058,      1.1326,      9.3735,      6.8898,  4.5078e-05,     -1.5012, -1.0755e-05,     0.16444, -1.5803e-08,      0.0255,      5.6715,      43.802,      43.802,      1.0082,     0.21015,     0.16315,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,        14.5,           0,           0,      1.3101,      0.1646,    0.028951,     0.13565, -3.0785e-07,    -0.13294,  0.00047574,    -0.13342,  9.2832e-07, -4.8516e-07, -2.2751e-08, -4.6241e-07,      7.9593,      9.1103,     0.87366,      38.673,      4.8588,     -5.8063, -9.0872e-06,      38.444,    -0.88882, -1.8054e-05,      33.472,    0.046941,           0,           0,      9.1856,      1.1631,      9.2578,      7.1611,  4.4906e-05,     -1.5031, -1.0502e-05,     0.16453,  -1.539e-08,    0.025464,      5.6593,      44.982,      44.982,      1.0073,     0.21556,     0.16278,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
