RPM,Throttle_%,Velocity_ms,Thrust_N,Power_W,Efficiency_gW
5000,,0.0,7.95341736,33.668,236.2307639301414
5000,,0.5453888,7.83776364,34.082,229.9678317000176
5000,,1.0907776,7.71321348,34.469,223.77247613797906
5000,,1.631696,7.57976688,34.821,217.67803566813132
5000,,2.1770848,7.43742384,35.127,211.72954821077803
5000,,2.7224736,7.27728792,35.378,205.70094182825486
5000,,3.2678624,7.108255560000001,35.563,199.87783820262632
5000,,3.8132512,6.921430320000001,35.674,194.01890228177388
5000,,4.3541696,6.725708640000001,35.699,188.40047732429483
5000,,4.8995584,6.52109052,35.628,183.0327416638599
5000,,5.4449472,6.298679519999999,35.453,177.6628076608467
5000,,5.990336,6.05847564,35.165,172.2870934167496
5000,,6.5357248,5.80047888,34.756,166.89143975140982
5000,,7.0766432,5.53358568,34.22,161.70618585622444
5000,,7.622032,5.25779604,33.55,156.71523219076005
5000,,8.1674208,4.95531708,32.738,151.36285295375407
5000,,8.7128096,4.64394168,31.781,146.12320820616094
5000,,9.2581984,4.32366984,30.685,140.9049972299169
5000,,9.7991168,3.9945015600000002,29.455,135.6137008996775
5000,,10.3445056,3.6475404,28.098,129.81494768310912
5000,,10.8898944,3.30057924,26.616,124.00733543733092
5000,,11.435283199999999,2.9358252,25.015,117.36259044573256
5000,,11.980672,2.5799676,23.299,110.73297566419158
5000,,12.521590400000001,2.20631712,21.472,102.75321907600596
5000,,13.0669792,1.84156308,19.541,94.24098459648943
5000,,13.612368,1.4679126,17.513,83.81845486210243
5000,,14.157756800000001,1.09426212,15.397,71.06982658959538
5000,,14.7031456,0.72950808,13.203,55.25320608952511
5000,,15.244064,0.36475404,10.945,33.32608862494289
5000,,15.7894528,0.0,8.633,0.0
8000,,0.0,20.51519064,133.789,153.3398907234526
8000,,0.871728,20.23050456,135.583,149.21121792555115
8000,,1.7479264,19.91023272,137.268,145.04642538683453
8000,,2.6196544,19.56327156,138.803,140.9427142064653
8000,,3.4913823999999996,19.19851752,140.151,136.98452041012908
8000,,4.3675808,18.78928128,141.27,133.00262815884474
8000,,5.2393088,18.353355720000003,142.117,129.14257773524633
8000,,6.1110368,17.890740840000003,142.648,125.41879900173858
8000,,6.987235200000001,17.38364376,142.82,121.71715277972272
8000,,7.858963199999999,16.84096092,142.59,118.10758762886599
8000,,8.7306912,16.26269232,141.918,114.59217519976323
8000,,9.606889599999999,15.64883796,140.768,111.16758041600363
8000,,10.4786176,14.990501400000001,139.106,107.7631547165471
8000,,11.3503456,14.305475520000002,136.903,104.49351380174286
8000,,12.2220736,13.575967440000001,134.131,101.21424159963021
8000,,13.098272,12.80197716,130.752,97.91037353157121
8000,,13.97,12.00129756,126.754,94.68180538681224
8000,,14.841728000000002,11.165032199999999,122.159,91.39754090979787
8000,,15.717926399999998,10.30207752,116.992,88.05796567286652
8000,,16.5896544,9.41243352,111.27,84.59093664060394
8000,,17.4613824,8.50499664,105.013,80.98994067401179
8000,,18.3375808,7.57976688,98.236,77.15874913473677
8000,,19.2093088,6.64564068,90.958,73.06273972602739
8000,,20.0810368,5.6937216,83.201,68.43333133015228
8000,,20.9572352,4.73290608,74.989,63.11467121844537
8000,,21.8289632,3.77209056,66.355,56.8471186798282
8000,,22.7006912,2.81127504,57.338,49.02987617286965
8000,,23.5768896,1.85935596,47.984,38.74949899966656
8000,,24.4486176,0.92522976,38.352,24.124680851063832
8000,,25.3203456,0.0,28.485,0.0
8769,70.0,0.0,24.770518027919998,176.749954,140.14441003995958
8769,70.0,0.871728,24.42425968668,179.15838499999998,136.32775092653355
8769,70.0,1.7479264,24.04241558544,181.42013500000002,132.52341359706296
8769,70.0,2.6196544,23.62704080184,183.483438,128.76933776355335
8769,70.0,3.4913823999999996,23.180190413520002,185.29745200000002,125.0971892129418
8769,70.0,4.3675808,23.085656842080002,185.55594100000002,124.4134610709123
8769,70.0,5.2393088,22.5950003832,187.001992,120.8275919499296
8769,70.0,6.1110368,22.063971879600004,188.074368,117.31514567471525
8769,70.0,6.987235200000001,21.488461176,188.715458,113.86699003745629
8769,70.0,7.858963199999999,20.870523350040003,188.86611299999998,110.50433038795056
8769,70.0,8.7306912,20.210158401719998,188.470953,107.23221844015399
8769,70.0,9.606889599999999,19.50052496868,187.476291,104.0159524421144
8769,70.0,10.4786176,18.753250698000002,185.83428500000002,100.91383674438761
8769,70.0,11.3503456,17.951921657880003,183.500555,97.83033984763699
8769,70.0,12.2220736,17.7834052914,182.860223,97.251359533779
8769,70.0,13.098272,16.93416002544,179.656555,94.2585146722868
8769,70.0,13.97,16.03085999004,175.678549,91.2510951467387
8769,70.0,14.841728000000002,15.091974194639999,170.892068,88.31290048312833
8769,70.0,15.717926399999998,14.10587499216,165.285969,85.34224095065203
8769,70.0,16.5896544,13.07940374496,158.89032500000002,82.31718164690015
8769,70.0,17.4613824,12.028298255400001,151.73513300000002,79.27167569952306
8769,70.0,18.3375808,10.94571716112,143.84539,76.09362497553796
8769,70.0,19.2093088,9.84055690212,135.243941,72.76153614985236
8769,70.0,20.0810368,9.62066359464,133.45207399999998,72.09077615863805
8769,70.0,20.9572352,8.495655378,124.058121,68.48125144503841
